,carat,cut,color,clarity,depth,table,price,x,y,z
40737,0.34,Ideal,E,IF,61.7,56.0,1163,4.46,4.48,2.76
4449,0.71,Premium,D,VVS2,60.0,58.0,3618,5.92,5.84,3.53
41311,0.55,Good,G,SI1,63.6,61.0,1213,5.22,5.16,3.3
43498,0.54,Ideal,G,VS2,61.5,55.0,1422,5.24,5.27,3.23
19880,1.23,Ideal,H,IF,61.3,57.0,8431,6.87,6.92,4.23
19374,0.27,Premium,E,VVS1,60.6,58.0,622,4.18,4.2,2.54
45240,0.53,Ideal,D,VS2,61.4,56.0,1659,5.18,5.21,3.19
15933,1.25,Ideal,G,SI2,61.1,55.0,6371,6.95,6.99,4.26
39327,0.34,Ideal,E,VVS2,62.3,57.0,1071,4.48,4.44,2.78
42612,0.36,Premium,I,VS2,62.7,59.0,505,4.54,4.58,2.86
27816,0.34,Ideal,G,SI1,61.2,57.0,650,4.56,4.53,2.78
13818,1.12,Good,E,SI1,64.3,57.0,5630,6.56,6.5,4.2
46622,0.3,Ideal,H,VS1,61.6,55.0,526,4.27,4.3,2.64
34061,0.36,Ideal,D,SI1,62.0,56.0,851,4.61,4.55,2.84
11121,0.71,Ideal,F,VVS1,61.1,54.0,4937,5.78,5.84,3.55
2055,0.32,Premium,G,VS2,62.6,60.0,561,4.33,4.36,2.72
46168,0.5,Premium,E,VS2,61.3,60.0,1746,5.11,5.07,3.12
43320,0.51,Very Good,E,SI1,63.3,59.0,1402,5.09,5.05,3.21
42545,0.58,Ideal,J,VS1,61.9,58.0,1324,5.31,5.35,3.3
35106,0.3,Ideal,F,IF,62.5,54.0,886,4.31,4.33,2.7
40822,0.39,Ideal,G,VVS1,62.3,57.0,1170,4.7,4.64,2.91
32709,0.31,Ideal,F,VS2,61.8,56.0,802,4.37,4.33,2.69
7285,0.9,Very Good,H,VS1,60.5,63.0,4201,6.13,6.16,3.72
52218,0.81,Premium,G,SI2,61.7,57.0,2482,5.99,5.94,3.68
50148,0.7,Premium,E,SI2,61.1,61.0,2215,5.74,5.69,3.49
3058,0.38,Very Good,J,VS2,60.5,60.0,566,4.64,4.68,2.82
53674,0.71,Very Good,G,SI1,60.0,59.0,2711,5.76,5.8,3.47
2611,0.71,Very Good,D,VS2,63.1,58.0,3222,5.67,5.7,3.59
7874,0.9,Very Good,H,VS1,62.1,59.0,4309,6.09,6.14,3.8
48926,0.74,Very Good,F,SI2,63.2,58.0,2042,5.75,5.71,3.62
23186,1.5,Premium,H,VS2,62.4,59.0,11194,7.32,7.29,4.56
22328,1.5,Very Good,F,SI1,63.0,55.0,10372,7.27,7.31,4.59
39889,0.42,Ideal,F,VS1,61.0,57.0,1103,4.87,4.84,2.96
14964,1.01,Premium,G,VS2,61.6,58.0,6027,6.45,6.4,3.96
27238,2.48,Premium,I,SI2,63.0,62.0,17607,8.62,8.58,5.42
21407,1.02,Ideal,F,VVS2,61.1,56.3,9521,6.48,6.52,3.97
38875,0.4,Ideal,D,VS2,61.3,57.0,1050,4.77,4.75,2.92
50013,0.7,Ideal,F,SI1,61.3,57.0,2196,5.76,5.79,3.54
15525,1.01,Good,E,VS2,62.5,58.0,6221,6.32,6.36,3.96
13467,1.13,Very Good,I,VS2,60.7,58.0,5531,6.72,6.75,4.09
13094,1.09,Ideal,I,VS2,61.9,56.0,5421,6.62,6.67,4.09
642,0.7,Very Good,E,VS2,62.7,58.0,2843,5.65,5.67,3.55
7467,1.0,Premium,F,SI1,60.8,59.0,4234,6.44,6.38,3.9
23331,1.52,Ideal,H,VS2,61.8,54.0,11379,7.42,7.43,4.59
37955,0.41,Ideal,G,VVS2,62.2,56.0,1007,4.75,4.8,2.97
30445,0.43,Very Good,J,VS2,60.9,59.0,731,4.86,4.9,2.97
28648,0.31,Very Good,E,SI2,60.8,61.0,435,4.39,4.43,2.68
30859,0.33,Ideal,G,VS2,62.2,56.0,743,4.47,4.44,2.77
2503,0.7,Premium,E,VS2,61.0,59.0,3199,5.74,5.7,3.49
31089,0.33,Ideal,G,VVS2,62.5,54.0,752,4.41,4.45,2.77
11297,1.16,Premium,H,SI2,62.6,57.0,4979,6.75,6.67,4.2
46556,0.51,Ideal,E,VS2,61.8,57.0,1781,5.15,5.14,3.18
2149,1.13,Good,G,I1,63.4,58.0,3127,6.58,6.61,4.18
44268,0.52,Premium,E,VS2,62.5,60.0,1576,5.1,5.14,3.2
8051,0.23,Very Good,F,VVS2,61.4,56.0,583,3.94,3.97,2.43
39309,0.5,Fair,F,SI1,64.7,60.0,1069,4.99,4.84,3.18
19963,1.08,Very Good,D,VS1,60.5,58.0,8513,6.53,6.63,3.98
31904,0.3,Premium,G,VS1,62.2,59.0,776,4.31,4.28,2.67
34327,0.48,Ideal,J,VS1,62.2,54.0,861,5.01,5.06,3.13
19411,1.51,Ideal,J,VS1,61.6,58.0,8067,7.35,7.43,4.55
9401,1.03,Premium,F,SI2,62.4,59.0,4586,6.45,6.38,4.0
35661,0.31,Very Good,G,VVS2,63.4,59.0,907,4.29,4.26,2.71
41451,0.4,Ideal,G,IF,62.3,55.0,1229,4.74,4.76,2.96
18495,1.03,Ideal,E,VS2,61.7,56.0,7533,6.45,6.54,4.01
7375,1.16,Premium,J,SI1,62.5,58.0,4222,6.73,6.67,4.19
3768,1.04,Very Good,J,SI2,62.8,57.0,3459,6.44,6.5,4.06
763,0.71,Premium,E,VS2,61.5,60.0,2858,5.76,5.68,3.52
49971,0.29,Very Good,H,VVS2,61.2,56.0,541,4.26,4.29,2.61
9815,1.09,Ideal,G,SI2,61.2,57.0,4670,6.68,6.63,4.07
2621,0.74,Ideal,F,VS1,62.3,56.0,3226,5.76,5.79,3.6
39901,0.42,Ideal,D,VS2,62.4,55.0,1103,4.82,4.8,3.0
39052,0.54,Ideal,I,SI1,62.0,55.0,1057,5.21,5.25,3.24
45199,0.51,Ideal,E,VS2,62.6,55.0,1656,5.08,5.11,3.19
8773,1.01,Premium,F,SI2,58.8,61.0,4468,6.53,6.46,3.82
13617,1.0,Premium,H,VS2,59.4,61.0,5572,6.51,6.46,3.85
11201,1.02,Premium,H,VS2,61.0,60.0,4958,6.5,6.46,3.95
3828,0.73,Good,E,VS1,60.8,61.0,3471,5.77,5.8,3.52
4694,1.01,Premium,H,SI2,60.3,59.0,3676,6.51,6.45,3.91
3405,0.33,Good,D,SI1,63.1,55.0,567,4.38,4.4,2.77
21858,1.22,Ideal,F,VS1,62.3,57.0,9920,6.79,6.83,4.24
28817,0.31,Ideal,D,VS1,62.0,54.0,683,4.35,4.36,2.7
11167,1.07,Premium,G,SI1,60.5,62.0,4949,6.69,6.6,4.02
20855,1.01,Very Good,E,VVS2,60.2,60.0,9076,6.46,6.5,3.9
47643,0.23,Very Good,F,IF,59.5,58.0,530,4.0,4.03,2.39
31386,0.35,Very Good,D,VS1,60.9,58.0,763,4.54,4.56,2.77
50420,0.55,Ideal,F,VVS2,60.7,56.0,2259,5.31,5.34,3.23
6246,0.9,Ideal,G,SI1,61.9,59.0,4008,6.16,6.19,3.82
3943,0.72,Ideal,G,VVS1,62.2,57.0,3502,5.72,5.75,3.57
3293,0.83,Very Good,E,SI1,63.5,58.0,3365,5.93,5.98,3.78
9023,1.04,Ideal,H,SI1,61.9,57.0,4515,6.49,6.46,4.01
1136,0.71,Very Good,E,VS2,59.9,59.0,2921,5.77,5.81,3.47
36642,0.43,Ideal,F,SI1,61.3,56.0,948,4.9,4.86,2.99
30223,0.33,Ideal,E,VS2,61.3,55.0,723,4.46,4.48,2.74
19652,1.72,Fair,D,SI2,64.6,58.0,8264,7.53,7.46,4.84
14208,1.13,Ideal,G,SI1,61.8,55.0,5759,6.71,6.75,4.16
44504,0.52,Ideal,D,SI1,62.4,56.0,1600,5.12,5.17,3.21
14393,0.3,Very Good,G,VS1,62.5,55.0,605,4.25,4.32,2.68
25528,1.53,Premium,G,VS1,61.0,60.0,14344,7.43,7.4,4.52
25388,2.02,Fair,H,SI2,56.5,61.0,14080,8.33,8.37,4.72
30840,0.33,Premium,H,VS1,61.0,59.0,743,4.5,4.45,2.73
38821,0.7,Very Good,G,I1,61.5,63.0,1047,5.73,5.65,3.5
12627,1.26,Premium,I,SI1,60.5,62.0,5292,6.97,6.92,4.2
35700,0.3,Premium,D,VS2,62.5,59.0,911,4.28,4.23,2.66
46322,0.59,Very Good,H,VS1,62.1,55.0,1757,5.37,5.41,3.35
4242,0.82,Ideal,E,SI1,62.1,55.0,3577,5.98,6.0,3.72
36870,0.39,Very Good,G,VVS2,60.7,61.0,958,4.7,4.73,2.86
33158,0.31,Ideal,H,IF,62.1,54.0,816,4.33,4.37,2.7
12868,1.26,Ideal,I,SI2,62.0,56.0,5363,7.0,6.94,4.32
20115,1.51,Very Good,F,SI2,62.7,60.0,8581,7.25,7.32,4.57
47024,0.56,Ideal,G,VS1,60.6,56.0,1819,5.33,5.36,3.24
38801,0.31,Ideal,G,VVS1,62.5,55.0,1046,4.34,4.33,2.71
46881,0.56,Ideal,H,VVS2,60.9,57.0,1814,5.38,5.33,3.26
8738,0.96,Premium,E,SI2,58.2,58.0,4462,6.52,6.47,3.78
43147,0.52,Very Good,E,SI1,62.7,57.0,1389,5.1,5.14,3.21
8887,1.02,Very Good,H,SI1,63.5,55.0,4487,6.31,6.35,4.02
12641,1.06,Good,I,VS1,57.5,62.0,5293,6.71,6.83,3.9
16455,1.21,Ideal,H,SI1,62.1,59.0,6573,6.81,6.75,4.21
27643,2.02,Fair,H,VS2,64.5,57.0,18565,8.0,7.95,5.14
25183,1.52,Ideal,G,VS2,62.1,56.0,13768,7.39,7.34,4.57
24723,2.03,Very Good,I,SI2,62.8,59.0,13063,8.04,8.08,5.06
11061,0.28,Good,F,VVS2,61.2,62.0,596,4.16,4.21,2.56
51515,0.7,Fair,G,VS1,65.8,61.0,2384,5.61,5.46,3.64
2133,0.7,Ideal,G,VVS1,62.3,57.0,3123,5.61,5.65,3.51
17181,2.32,Fair,H,I1,70.5,55.0,6860,7.93,7.9,5.58
42544,0.58,Ideal,J,VS2,60.9,57.0,1324,5.38,5.4,3.28
48534,0.54,Ideal,D,VS1,61.6,54.0,1987,5.24,5.25,3.23
14800,1.2,Very Good,I,SI1,62.9,54.0,5955,6.75,6.77,4.25
44572,0.52,Very Good,F,VS2,62.4,57.0,1607,5.12,5.13,3.2
19275,1.57,Premium,F,SI2,60.2,60.0,8001,7.49,7.43,4.49
40012,0.7,Premium,I,I1,62.3,58.0,1107,5.69,5.55,3.51
22158,1.57,Very Good,H,SI1,62.0,60.0,10200,7.4,7.44,4.6
18777,1.02,Very Good,D,VS2,63.2,58.0,7677,6.4,6.36,4.03
24902,1.5,Premium,F,VS2,62.4,57.0,13333,7.38,7.29,4.58
53421,0.7,Very Good,E,VS1,62.7,60.0,2671,5.59,5.64,3.52
37031,0.42,Premium,F,SI1,60.6,58.0,966,4.89,4.81,2.94
24115,2.01,Premium,H,SI1,60.0,60.0,12271,8.16,8.13,4.89
32741,0.31,Premium,G,VS1,62.2,58.0,802,4.38,4.34,2.71
42670,0.44,Ideal,E,VVS2,61.9,56.0,1334,4.91,4.88,3.03
13496,0.7,Ideal,D,VVS2,61.7,55.0,5539,5.73,5.75,3.54
10106,1.2,Premium,J,SI1,60.0,61.0,4717,6.89,6.84,4.12
18155,1.05,Ideal,G,VS1,62.2,57.0,7357,6.49,6.51,4.04
48066,0.7,Ideal,F,I1,62.1,57.0,1928,5.67,5.64,3.52
43543,0.53,Premium,F,SI1,60.9,59.0,1428,5.21,5.23,3.18
8330,1.09,Premium,H,SI2,61.2,62.0,4395,6.63,6.58,4.04
4740,0.92,Premium,E,SI2,61.8,59.0,3679,6.19,6.11,3.8
335,0.71,Premium,F,VS2,58.0,62.0,2803,5.85,5.81,3.38
42135,0.57,Good,F,SI2,61.9,57.7,1280,5.32,5.34,3.3
49595,0.71,Very Good,G,VS2,63.5,59.0,2137,5.67,5.63,3.59
2458,0.89,Premium,G,SI1,61.1,58.0,3190,6.24,6.17,3.79
13226,1.06,Ideal,G,SI1,62.9,56.0,5461,6.52,6.49,4.09
53938,0.86,Premium,H,SI2,61.0,58.0,2757,6.15,6.12,3.74
16638,1.1,Premium,G,VS2,60.2,58.0,6653,6.75,6.71,4.05
90,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57
17094,1.04,Premium,G,VS1,61.5,61.0,6814,6.56,6.51,4.02
53260,0.93,Premium,E,I1,62.3,60.0,2647,6.23,6.2,3.87
5012,1.1,Premium,F,I1,59.8,61.0,3745,6.7,6.65,3.99
24437,2.12,Premium,H,SI2,62.3,58.0,12693,8.25,8.16,5.12
36751,0.33,Ideal,F,VVS1,62.4,55.0,955,4.44,4.47,2.78
53395,0.9,Fair,I,VS2,65.8,55.0,2666,6.05,6.01,3.97
3353,0.71,Ideal,E,VS1,62.0,57.0,3380,5.72,5.66,3.53
26873,1.75,Ideal,G,VS2,62.1,57.0,16803,7.73,7.69,4.79
3684,0.81,Ideal,H,SI1,61.4,56.0,3446,6.0,6.05,3.7
51489,0.75,Good,I,VVS1,63.9,61.0,2381,5.7,5.67,3.63
32789,0.4,Ideal,G,VS2,62.6,56.0,804,4.69,4.74,2.95
31497,0.34,Ideal,G,VS2,62.1,55.0,765,4.49,4.46,2.78
29608,0.35,Premium,F,VS2,61.8,58.0,706,4.48,4.52,2.78
15390,1.29,Very Good,I,VS2,62.8,58.0,6166,6.89,6.93,4.34
24853,1.7,Premium,G,SI1,61.7,58.0,13256,7.69,7.6,4.72
7688,1.01,Premium,F,SI1,62.7,54.0,4276,6.42,6.37,4.01
37522,0.47,Good,D,SI1,63.8,59.0,987,4.9,4.88,3.12
456,0.71,Premium,E,SI1,59.2,59.0,2817,5.86,5.83,3.46
12646,1.01,Ideal,G,VS1,61.3,56.0,5294,6.49,6.44,3.96
1869,0.92,Good,J,SI2,59.0,63.0,3070,6.3,6.35,3.73
37220,0.31,Ideal,F,VVS1,61.6,55.0,975,4.36,4.41,2.7
32269,0.3,Ideal,G,VVS1,61.3,56.0,789,4.3,4.34,2.65
49413,0.7,Very Good,G,SI1,62.1,58.0,2106,5.66,5.7,3.53
16806,1.01,Premium,H,IF,62.1,59.0,6702,6.47,6.41,4.0
19552,1.5,Very Good,H,SI2,62.5,60.0,8184,7.25,7.32,4.55
15494,0.9,Very Good,D,VS1,62.2,58.0,6208,6.14,6.18,3.83
42286,0.23,Good,F,VVS2,62.8,61.0,505,3.92,3.95,2.47
35964,0.25,Good,E,VVS2,58.0,65.0,476,4.13,4.18,2.41
36762,0.35,Ideal,F,VVS2,62.1,56.0,956,4.56,4.52,2.82
53641,0.73,Very Good,D,SI2,60.4,59.0,2703,5.8,5.86,3.52
41368,0.4,Very Good,G,IF,61.2,57.0,1220,4.77,4.79,2.92
33885,0.3,Ideal,E,VS2,61.5,55.0,844,4.33,4.29,2.65
5763,1.01,Premium,J,VVS2,62.7,59.0,3897,6.46,6.39,4.03
41981,0.51,Ideal,D,SI2,62.5,55.0,1264,5.12,5.15,3.21
18493,1.72,Premium,F,I1,60.1,58.0,7532,7.77,7.74,4.66
44829,0.51,Good,E,SI1,64.3,54.0,1624,5.1,5.07,3.27
3027,0.7,Ideal,E,VS1,62.2,58.0,3309,5.67,5.71,3.54
42208,0.52,Good,H,VS2,63.6,57.0,1289,5.05,5.1,3.23
11831,1.01,Premium,F,SI2,62.2,59.0,5096,6.41,6.38,3.98
20707,0.31,Ideal,F,VS2,62.1,57.0,625,4.34,4.36,2.7
9414,1.01,Good,G,SI1,63.6,57.0,4588,6.33,6.37,4.04
18552,1.24,Good,E,SI1,63.5,55.0,7563,6.82,6.86,4.35
14077,1.01,Very Good,I,SI1,60.1,59.0,5712,6.44,6.47,3.88
16429,1.05,Ideal,G,VS2,61.9,57.0,6562,6.47,6.51,4.03
4644,0.9,Good,G,SI1,63.7,60.0,3669,6.11,6.07,3.88
44839,0.56,Ideal,E,VS2,61.6,57.0,1625,5.3,5.32,3.27
2833,0.8,Very Good,F,SI1,61.6,56.0,3267,5.96,6.0,3.68
29796,0.3,Ideal,D,SI1,62.5,57.0,709,4.32,4.29,2.69
53405,0.76,Ideal,H,VS2,62.7,57.0,2668,5.82,5.86,3.66
16454,1.21,Premium,H,SI1,59.8,58.0,6573,6.95,6.9,4.14
19389,1.51,Very Good,J,VS1,61.4,57.0,8057,7.3,7.38,4.51
20661,1.21,Ideal,H,VVS2,61.3,56.0,8950,6.85,6.89,4.21
52519,0.7,Ideal,F,SI1,61.5,57.0,2528,5.67,5.74,3.51
40743,0.53,Ideal,I,VS2,62.2,56.0,1163,5.15,5.2,3.22
47165,0.46,Ideal,E,VS1,61.9,55.0,1834,4.94,4.97,3.06
41891,0.41,Ideal,G,IF,61.7,56.0,1259,4.79,4.81,2.96
30987,0.37,Very Good,F,VS2,61.0,58.0,746,4.61,4.63,2.82
41281,0.58,Ideal,F,SI2,60.9,57.0,1209,5.4,5.44,3.3
53418,0.72,Premium,F,SI1,59.5,62.0,2670,5.85,5.74,3.45
18293,1.5,Good,G,SI1,58.4,65.0,7434,7.45,7.41,4.34
18256,1.31,Very Good,H,VS2,61.4,59.0,7415,6.96,7.01,4.29
12961,1.0,Very Good,D,SI1,62.1,58.0,5390,6.34,6.45,3.97
41467,0.41,Premium,G,VVS1,60.3,60.0,1230,4.78,4.74,2.87
39803,0.38,Ideal,F,VVS1,61.0,57.0,1096,4.67,4.71,2.86
40151,0.35,Premium,E,VVS1,60.7,59.0,1116,4.58,4.55,2.77
35729,0.3,Premium,D,VS2,61.7,58.0,911,4.32,4.3,2.66
14356,1.13,Ideal,I,VS1,61.6,54.0,5813,6.72,6.74,4.15
33927,0.37,Premium,E,VVS2,60.9,59.0,844,4.61,4.65,2.82
38395,0.39,Premium,G,VVS2,60.7,61.0,1024,4.73,4.7,2.86
41289,0.5,Good,D,SI1,63.9,56.0,1210,5.02,4.93,3.18
25375,0.31,Ideal,E,VS2,61.5,56.0,642,4.39,4.42,2.71
24098,1.72,Good,D,SI2,63.4,62.0,12248,7.53,7.59,4.79
18070,1.27,Ideal,H,SI1,59.8,57.0,7297,7.08,7.01,4.22
15457,1.0,Good,D,VS2,62.8,61.0,6189,6.31,6.34,3.97
21329,1.59,Premium,I,VS2,59.9,60.0,9474,7.61,7.57,4.55
32566,0.38,Very Good,F,VS2,60.9,56.0,800,4.67,4.72,2.86
27146,2.39,Ideal,J,VS1,62.1,57.0,17365,8.53,8.57,5.31
12461,1.01,Premium,F,SI1,62.2,59.0,5249,6.36,6.41,3.97
35605,0.31,Premium,H,VVS1,62.6,58.0,907,4.33,4.29,2.7
26144,2.05,Ideal,J,VS1,61.8,58.0,15450,8.12,8.16,5.03
52017,0.7,Good,F,SI1,61.1,61.0,2445,5.68,5.71,3.48
51139,1.01,Fair,I,I1,56.1,63.0,2342,6.7,6.65,3.74
22509,1.55,Very Good,H,VS2,63.3,56.0,10546,7.38,7.32,4.65
37437,0.33,Premium,E,VVS1,59.7,58.0,984,4.49,4.52,2.69
21546,1.51,Premium,E,SI1,62.9,62.0,9647,7.31,7.21,4.57
12363,0.26,Very Good,D,VVS2,59.1,59.0,597,4.21,4.28,2.51
12002,1.01,Premium,D,SI1,59.8,54.0,5147,6.6,6.5,3.93
31236,0.42,Very Good,D,SI1,60.2,57.0,756,4.85,4.89,2.93
51102,1.03,Premium,H,I1,62.9,59.0,2336,6.41,6.3,4.0
19610,1.57,Ideal,I,SI2,62.6,58.0,8228,7.38,7.41,4.63
17022,1.01,Very Good,G,VS1,63.1,55.0,6795,6.34,6.37,4.01
26644,2.51,Premium,J,SI2,59.3,58.0,16427,8.87,8.83,5.25
52394,0.7,Very Good,D,SI1,63.2,55.0,2509,5.62,5.65,3.56
9199,0.95,Ideal,G,VS2,61.6,56.0,4549,6.34,6.3,3.89
31279,0.32,Ideal,E,SI2,62.7,55.0,449,4.39,4.42,2.76
8021,1.25,Premium,J,SI2,62.3,59.0,4331,6.82,6.86,4.26
26560,2.26,Premium,I,SI2,62.0,58.0,16241,8.4,8.37,5.2
27815,0.28,Ideal,G,IF,60.9,57.0,650,4.24,4.27,2.59
21214,1.52,Ideal,I,SI1,61.4,57.0,9358,7.4,7.43,4.55
41841,0.4,Good,D,VS1,56.3,59.0,1254,4.94,4.97,2.79
23062,1.7,Very Good,F,SI2,63.4,57.0,11091,7.54,7.57,4.79
23542,2.01,Good,J,SI2,63.4,59.0,11554,7.95,7.99,5.05
35736,0.3,Ideal,D,VS2,62.2,54.0,911,4.31,4.28,2.67
45883,0.55,Very Good,E,VS2,61.6,60.0,1719,5.23,5.27,3.23
38906,0.33,Premium,E,VVS1,59.7,58.0,1052,4.52,4.49,2.69
20460,1.16,Ideal,G,VVS2,62.0,56.0,8803,6.75,6.71,4.17
17316,1.51,Very Good,J,SI1,62.9,59.0,6942,7.25,7.29,4.57
413,0.29,Ideal,F,VS1,61.6,56.0,555,4.26,4.31,2.64
1985,0.7,Very Good,E,VS1,63.4,57.0,3095,5.63,5.67,3.58
34282,0.39,Premium,H,SI2,61.2,58.0,468,4.51,6.02,4.44
48196,0.52,Ideal,E,VS2,61.2,56.0,1947,5.2,5.16,3.17
25600,2.17,Premium,H,SI1,59.9,61.0,14452,8.39,8.38,5.02
19245,1.37,Ideal,H,VS1,63.8,56.0,7979,7.01,6.98,4.46
32362,0.3,Very Good,F,VVS1,61.0,57.0,790,4.33,4.36,2.65
10962,1.06,Premium,D,SI2,61.6,61.0,4903,6.59,6.53,4.04
36725,0.32,Ideal,E,VVS1,60.9,57.0,954,4.42,4.45,2.7
2043,0.32,Premium,G,VS2,61.0,59.0,561,4.42,4.46,2.71
31601,0.2,Premium,D,VS2,61.7,60.0,367,3.77,3.72,2.31
796,0.7,Ideal,H,VS2,61.1,57.0,2862,5.71,5.74,3.5
48063,0.53,Ideal,E,VS1,61.5,57.0,1928,5.22,5.25,3.22
52744,0.71,Ideal,I,VVS1,62.4,55.0,2559,5.69,5.76,3.57
21679,1.16,Ideal,G,VVS1,61.9,55.0,9781,6.75,6.78,4.19
13899,1.01,Premium,E,SI1,59.2,60.0,5656,6.56,6.51,3.87
35845,0.4,Ideal,G,VVS2,62.6,53.0,917,4.72,4.77,2.97
19106,1.51,Good,F,SI2,62.9,55.0,7875,7.22,7.28,4.56
3697,1.04,Very Good,I,SI2,61.6,58.0,3449,6.47,6.58,4.02
47978,0.37,Ideal,I,SI1,60.7,60.0,532,4.6,4.62,2.8
29241,0.37,Premium,F,VS2,60.5,59.0,696,4.62,4.67,2.81
46589,0.64,Good,H,VS1,61.8,60.3,1786,5.47,5.53,3.4
25238,2.01,Very Good,I,SI1,60.8,60.0,13849,8.12,8.15,4.95
20116,1.29,Ideal,G,VS2,62.5,57.0,8582,6.89,6.92,4.35
